Number,Name,DPR
1318,Issaquah Robotics Society,0.99
1595,The Dragons,-0.56
1899,Saints Robotics,0.99
1983,Skunk Works Robotics,4.78
2046,Bear Metal,-13.78
2412,Robototes,-12.76
2928,Viking Robotics,0.99
2976,The Spartabots,1.71
3070,Team Pronto 3070,-6.64
3268,Valhallabots,Invalid
3574,HIGH TEKERZ,Invalid
360,The Revolution,0.61
3681,Robo-Raiders,-0.56
4104,Cheney Circuit Cyclone-4104,Invalid
4131,Iron Patriots,-6.64
4173,IMVERT (Mount Vernon Robotics Team),-12.76
4180,Iron Riders,-12.76
488,Team XBOT,4.78
4918,The Roboctopi,Invalid
492,Titan Robotics Club,0.61
4980,Canine Crusaders,-0.56
5588,Reign Robotics,Invalid
5827,Code Purple,-6.64
6076,Mustang Mechanica,Invalid
7461,Sushi Squad,Invalid
8051,TinkRex,0.61
8248,ChainLynx,Invalid
9023,Future Martians,-13.78
9036,Ramen Robotics,1.71
9442,Miso Mechanics,1.71
9450,Velocity Raptors,Invalid
948,NRG (Newport Robotics Group),4.78
949,Wolverine Robotics,Invalid
1294,Pack of Parts,-13.78
